student_number,name,gender,age,department_code,semester,academic_year,attendance_percentage,previous_cgpa,mid_1,mid_2,internal_marks,backlogs,semester_cgpa,grade,risk_level,academic_average,attendance_risk_score,attendance_risk_category,internal_average,mid_term_average,backlog_severity_score,backlog_severity_category,previous_cgpa_trend,academic_stability
2023ece005,Aditya Deshmukh,MALE,19,ECE,1,2020-2021,76.9,6.39,57.79,60.34,63.2,0,6.16,B,MEDIUM,60.44,0.0,NORMAL,0.632,59.06,0.0,NONE,0.0,0.0
2023ece005,Aditya Deshmukh,MALE,19,ECE,2,2020-2021,64.0,6.16,65.18,58.39,65.07,1,5.79,C,HIGH,62.88,0.1467,CRITICAL,0.6507,61.78,0.2,MODERATE,-0.23,0.0
2023ece005,Aditya Deshmukh,MALE,20,ECE,3,2021-2022,78.48,5.97,61.1,63.87,66.77,2,5.4,C,HIGH,63.91,0.0,NORMAL,0.6677,62.48,0.4,MODERATE,-0.19,0.2103
2023ece005,Aditya Deshmukh,MALE,20,ECE,4,2021-2022,75.25,5.78,74.68,57.19,63.62,0,6.12,B,MEDIUM,65.16,0.0,NORMAL,0.6362,65.94,0.0,NONE,-0.19,0.2611
2023ece005,Aditya Deshmukh,MALE,21,ECE,5,2022-2023,79.54,5.87,60.45,59.95,65.31,0,6.07,B,MEDIUM,61.9,0.0,NORMAL,0.6531,60.2,0.0,NONE,0.09,0.244
2023civil006,Ananya Singireddy,FEMALE,18,CIVIL,1,2020-2021,69.13,6.02,71.41,65.25,69.42,0,6.42,B,MEDIUM,68.69,0.0783,AT_RISK,0.6942,68.33,0.0,NONE,0.0,0.0
2023civil006,Ananya Singireddy,FEMALE,18,CIVIL,2,2020-2021,67.4,6.42,81.59,73.24,62.31,0,6.84,B,MEDIUM,72.38,0.1013,AT_RISK,0.6231,77.41,0.0,NONE,0.4,0.0
2023civil006,Ananya Singireddy,FEMALE,19,CIVIL,3,2021-2022,68.5,6.63,76.19,78.42,64.16,1,6.8,B,MEDIUM,72.92,0.0867,AT_RISK,0.6416,77.31,0.2,MODERATE,0.21,0.3099
2023civil006,Ananya Singireddy,FEMALE,19,CIVIL,4,2021-2022,76.18,6.69,77.46,83.91,67.04,0,6.87,B,MEDIUM,76.14,0.0,NORMAL,0.6704,80.68,0.0,NONE,0.06,0.303
2023civil006,Ananya Singireddy,FEMALE,20,CIVIL,5,2022-2023,73.11,6.73,68.7,73.14,69.97,0,6.91,B,MEDIUM,70.6,0.0252,AT_RISK,0.6997,70.92,0.0,NONE,0.04,0.2927
2023civil006,Ananya Singireddy,FEMALE,20,CIVIL,6,2022-2023,82.11,6.77,74.74,83.39,66.94,0,7.57,A,LOW,75.02,0.0,NORMAL,0.6694,79.06,0.0,NONE,0.04,0.2844
2023mech007,Meera Gupta,FEMALE,19,MECH,1,2020-2021,80.09,8.2,69.98,68.7,77.28,0,7.78,A,LOW,71.99,0.0,NORMAL,0.7728,69.34,0.0,NONE,0.0,0.0
2023mech007,Meera Gupta,FEMALE,19,MECH,2,2020-2021,80.95,7.78,78.22,74.94,70.64,0,7.33,A,LOW,74.6,0.0,NORMAL,0.7064,76.58,0.0,NONE,-0.42,0.0
2023mech007,Meera Gupta,FEMALE,20,MECH,3,2021-2022,76.82,7.55,80.78,76.92,68.64,0,7.56,A,LOW,75.45,0.0,NORMAL,0.6864,78.85,0.0,NONE,-0.23,0.3296
2023mech007,Meera Gupta,FEMALE,20,MECH,4,2021-2022,80.66,7.56,70.59,76.82,75.16,0,7.28,A,LOW,74.19,0.0,NORMAL,0.7516,73.7,0.0,NONE,0.01,0.3041
2023ece008,Meera Gupta,FEMALE,18,ECE,1,2020-2021,83.56,7.63,73.45,76.58,75.3,0,7.31,A,LOW,75.11,0.0,NORMAL,0.753,75.02,0.0,NONE,0.0,0.0
2023ece008,Meera Gupta,FEMALE,18,ECE,2,2020-2021,78.48,7.31,73.22,73.22,72.6,0,8.08,A+,LOW,73.01,0.0,NORMAL,0.726,73.22,0.0,NONE,-0.32,0.0
2023ece008,Meera Gupta,FEMALE,19,ECE,3,2021-2022,84.62,7.7,77.0,75.91,73.29,0,7.56,A,LOW,75.4,0.0,NORMAL,0.7329,76.46,0.0,NONE,0.39,0.2079
2023ece008,Meera Gupta,FEMALE,19,ECE,4,2021-2022,85.48,7.65,65.6,68.82,67.6,0,7.3,A,LOW,67.34,0.0,NORMAL,0.676,67.21,0.0,NONE,-0.05,0.1775
2023it009,Tanvi Patel,FEMALE,20,IT,1,2020-2021,87.08,7.21,54.08,69.4,57.0,2,6.13,B,MEDIUM,60.16,0.0,NORMAL,0.57,61.74,0.4,MODERATE,0.0,0.0
2023it009,Tanvi Patel,FEMALE,20,IT,2,2020-2021,82.62,6.13,65.89,59.04,61.49,1,6.05,B,MEDIUM,62.14,0.0,NORMAL,0.6149,62.46,0.2,MODERATE,-1.08,0.0
2023it009,Tanvi Patel,FEMALE,21,IT,3,2021-2022,75.78,6.09,67.03,66.0,61.81,0,6.67,B,MEDIUM,64.95,0.0,NORMAL,0.6181,66.52,0.0,NONE,-0.04,0.6354
2023it009,Tanvi Patel,FEMALE,21,IT,4,2021-2022,81.68,6.28,53.8,67.07,61.76,0,6.38,B,MEDIUM,60.88,0.0,NORMAL,0.6176,60.43,0.0,NONE,0.19,0.528
2023it009,Tanvi Patel,FEMALE,22,IT,5,2022-2023,76.42,6.31,65.49,69.21,69.39,0,6.27,B,MEDIUM,68.03,0.0,NORMAL,0.6939,67.35,0.0,NONE,0.03,0.4603
2023it009,Tanvi Patel,FEMALE,22,IT,6,2022-2023,78.7,6.3,63.55,62.48,73.89,1,6.31,B,MEDIUM,66.64,0.0,NORMAL,0.7389,63.02,0.2,MODERATE,-0.01,0.4139
2023eee010,Vikram Chopra,MALE,20,EEE,1,2020-2021,53.61,5.9,46.7,53.92,47.4,1,4.95,C,HIGH,49.34,0.2852,CRITICAL,0.474,50.31,0.2,MODERATE,0.0,0.0
2023eee010,Vikram Chopra,MALE,20,EEE,2,2020-2021,54.63,4.95,47.75,35.9,44.46,1,4.59,C,HIGH,42.7,0.2716,CRITICAL,0.4446,41.82,0.2,MODERATE,-0.95,0.0
2023eee010,Vikram Chopra,MALE,21,EEE,3,2021-2022,50.76,4.77,38.74,19.65,37.12,1,3.86,C,HIGH,31.84,0.3232,CRITICAL,0.3712,29.2,0.2,MODERATE,-0.18,0.6072
2023eee010,Vikram Chopra,MALE,21,EEE,4,2021-2022,47.39,4.47,47.85,29.47,40.04,0,4.28,C,HIGH,39.12,0.3681,CRITICAL,0.4004,38.66,0.0,NONE,-0.3,0.6176
2023eee010,Vikram Chopra,MALE,22,EEE,5,2022-2023,56.05,4.42,28.39,43.98,42.29,2,3.5,C,HIGH,38.22,0.2527,CRITICAL,0.4229,36.18,0.4,MODERATE,-0.05,0.5989
2023eee010,Vikram Chopra,MALE,22,EEE,6,2022-2023,50.04,4.24,37.15,32.36,42.59,2,3.48,C,HIGH,37.37,0.3328,CRITICAL,0.4259,34.75,0.4,MODERATE,-0.18,0.6
2023ece011,Nikhil Chopra,MALE,18,ECE,1,2020-2021,81.88,8.02,73.25,78.79,63.05,0,8.07,A+,LOW,71.7,0.0,NORMAL,0.6305,76.02,0.0,NONE,0.0,0.0
2023ece011,Nikhil Chopra,MALE,18,ECE,2,2020-2021,73.7,8.07,68.4,72.84,70.64,0,7.54,A,LOW,70.63,0.0173,AT_RISK,0.7064,70.62,0.0,NONE,0.05,0.0
2023ece011,Nikhil Chopra,MALE,19,ECE,3,2021-2022,80.75,7.8,66.4,65.82,73.48,0,7.51,A,LOW,68.57,0.0,NORMAL,0.7348,66.11,0.0,NONE,-0.27,0.1436
2023ece011,Nikhil Chopra,MALE,19,ECE,4,2021-2022,78.89,7.71,74.79,71.24,73.3,0,7.68,A,LOW,73.11,0.0,NORMAL,0.733,73.02,0.0,NONE,-0.09,0.1726
2023ece011,Nikhil Chopra,MALE,20,ECE,5,2022-2023,78.42,7.7,66.07,73.92,72.29,0,7.45,A,LOW,70.76,0.0,NORMAL,0.7229,70.0,0.0,NONE,-0.01,0.1742
2023mech012,Karthik Iyer,MALE,20,MECH,1,2020-2021,76.54,7.15,73.14,61.93,68.16,0,6.96,B,MEDIUM,67.74,0.0,NORMAL,0.6816,67.54,0.0,NONE,0.0,0.0
2023mech012,Karthik Iyer,MALE,20,MECH,2,2020-2021,75.31,6.96,72.12,70.48,69.49,0,7.26,A,LOW,70.7,0.0,NORMAL,0.6949,71.3,0.0,NONE,-0.19,0.0
2023mech012,Karthik Iyer,MALE,21,MECH,3,2021-2022,76.37,7.11,69.67,63.72,67.04,0,6.91,B,MEDIUM,66.81,0.0,NORMAL,0.6704,66.69,0.0,NONE,0.15,0.1002
2023mech012,Karthik Iyer,MALE,21,MECH,4,2021-2022,76.78,7.04,69.21,60.73,75.88,0,6.8,B,MEDIUM,68.61,0.0,NORMAL,0.7588,64.97,0.0,NONE,-0.07,0.0835
2023mech012,Karthik Iyer,MALE,22,MECH,5,2022-2023,71.64,6.98,72.64,70.44,68.54,1,6.88,B,MEDIUM,70.54,0.0448,AT_RISK,0.6854,71.54,0.2,MODERATE,-0.06,0.0817
2023mech012,Karthik Iyer,MALE,22,MECH,6,2022-2023,76.56,6.96,60.36,66.2,62.03,1,6.63,B,MEDIUM,62.86,0.0,NORMAL,0.6203,63.28,0.2,MODERATE,-0.02,0.0814
2023mech012,Karthik Iyer,MALE,23,MECH,7,2023-2024,76.13,6.91,60.85,63.87,67.49,0,6.61,B,MEDIUM,64.07,0.0,NORMAL,0.6749,62.36,0.0,NONE,-0.05,0.0877
2023mech012,Karthik Iyer,MALE,23,MECH,8,2023-2024,73.53,6.86,67.31,67.32,62.89,0,6.64,B,MEDIUM,65.84,0.0196,AT_RISK,0.6289,67.32,0.0,NONE,-0.05,0.0981
2023ds013,Vikram Gupta,MALE,20,DS,1,2020-2021,87.23,7.9,59.72,59.96,65.22,0,7.18,A,LOW,61.63,0.0,NORMAL,0.6522,59.84,0.0,NONE,0.0,0.0
2023ds013,Vikram Gupta,MALE,20,DS,2,2020-2021,86.74,7.18,76.85,73.15,68.01,0,7.19,A,LOW,72.67,0.0,NORMAL,0.6801,75.0,0.0,NONE,-0.72,0.0
2023ds013,Vikram Gupta,MALE,21,DS,3,2021-2022,80.68,7.19,67.49,65.87,70.42,0,6.88,B,MEDIUM,67.93,0.0,NORMAL,0.7042,66.68,0.0,NONE,0.01,0.4128
2023ds013,Vikram Gupta,MALE,21,DS,4,2021-2022,85.97,7.08,76.39,66.54,70.82,0,7.23,A,LOW,71.25,0.0,NORMAL,0.7082,71.46,0.0,NONE,-0.11,0.3783
2023ds013,Vikram Gupta,MALE,22,DS,5,2022-2023,81.48,7.12,68.14,66.87,69.3,0,6.85,B,MEDIUM,68.1,0.0,NORMAL,0.693,67.5,0.0,NONE,0.04,0.3417
2023ds013,Vikram Gupta,MALE,22,DS,6,2022-2023,82.37,7.07,69.38,75.1,73.6,0,7.58,A,LOW,72.69,0.0,NORMAL,0.736,72.24,0.0,NONE,-0.05,0.319
2023ds013,Vikram Gupta,MALE,23,DS,7,2023-2024,78.4,7.15,71.22,67.09,79.76,0,7.06,A,LOW,72.69,0.0,NORMAL,0.7976,69.16,0.0,NONE,0.08,0.294
2023civil014,Nikhil Sharma,MALE,20,CIVIL,1,2020-2021,73.15,7.7,76.27,67.12,76.94,0,7.42,A,LOW,73.44,0.0247,AT_RISK,0.7694,71.69,0.0,NONE,0.0,0.0
2023civil014,Nikhil Sharma,MALE,20,CIVIL,2,2020-2021,77.71,7.42,82.22,91.42,84.32,0,7.77,A,LOW,85.99,0.0,NORMAL,0.8432,86.82,0.0,NONE,-0.28,0.0
2023civil014,Nikhil Sharma,MALE,21,CIVIL,3,2021-2022,74.12,7.59,83.42,72.54,88.72,0,8.08,A+,LOW,81.56,0.0117,AT_RISK,0.8872,77.98,0.0,NONE,0.17,0.1411
2023civil014,Nikhil Sharma,MALE,21,CIVIL,4,2021-2022,76.44,7.76,70.49,88.89,78.99,0,8.08,A+,LOW,79.46,0.0,NORMAL,0.7899,79.69,0.0,NONE,0.17,0.1493
2023eee015,Pranav Iyer,MALE,18,EEE,1,2020-2021,72.26,7.19,79.81,83.44,83.7,0,7.52,A,LOW,82.32,0.0365,AT_RISK,0.837,81.62,0.0,NONE,0.0,0.0
2023eee015,Pranav Iyer,MALE,18,EEE,2,2020-2021,81.01,7.52,76.95,82.5,84.07,0,7.87,A,LOW,81.17,0.0,NORMAL,0.8407,79.72,0.0,NONE,0.33,0.0
2023eee015,Pranav Iyer,MALE,19,EEE,3,2021-2022,81.25,7.7,76.55,74.09,89.85,0,7.93,A,LOW,80.16,0.0,NORMAL,0.8985,75.32,0.0,NONE,0.18,0.2587
2023eee015,Pranav Iyer,MALE,19,EEE,4,2021-2022,75.3,7.77,92.54,83.93,89.36,0,8.22,A+,LOW,88.61,0.0,NORMAL,0.8936,88.24,0.0,NONE,0.07,0.259
2023eee015,Pranav Iyer,MALE,20,EEE,5,2022-2023,86.42,7.88,93.71,81.69,88.32,0,8.38,A+,LOW,87.91,0.0,NORMAL,0.8832,87.7,0.0,NONE,0.11,0.2698
2023eee015,Pranav Iyer,MALE,20,EEE,6,2022-2023,83.54,7.98,77.33,87.24,88.76,1,7.58,A,LOW,84.44,0.0,NORMAL,0.8876,82.28,0.2,MODERATE,0.1,0.2842
2023eee015,Pranav Iyer,MALE,21,EEE,7,2023-2024,73.22,7.92,70.83,81.45,87.05,0,8.27,A+,LOW,79.78,0.0237,AT_RISK,0.8705,76.14,0.0,NONE,-0.06,0.2757
2023eee015,Pranav Iyer,MALE,21,EEE,8,2023-2024,78.13,7.97,92.78,74.73,74.95,0,7.98,A,LOW,80.82,0.0,NORMAL,0.7495,83.76,0.0,NONE,0.05,0.2715
2023ds016,Siddharth Sharma,MALE,18,DS,1,2020-2021,80.42,8.18,80.44,68.23,80.24,0,7.71,A,LOW,76.3,0.0,NORMAL,0.8024,74.34,0.0,NONE,0.0,0.0
2023ds016,Siddharth Sharma,MALE,18,DS,2,2020-2021,81.48,7.71,82.79,74.95,78.11,0,7.56,A,LOW,78.62,0.0,NORMAL,0.7811,78.87,0.0,NONE,-0.47,0.0
2023ds016,Siddharth Sharma,MALE,19,DS,3,2021-2022,78.46,7.63,86.28,74.63,83.2,0,7.73,A,LOW,81.37,0.0,NORMAL,0.832,80.46,0.0,NONE,-0.08,0.2972
2023ds016,Siddharth Sharma,MALE,19,DS,4,2021-2022,75.45,7.67,79.86,74.29,77.91,0,7.46,A,LOW,77.35,0.0,NORMAL,0.7791,77.08,0.0,NONE,0.04,0.2571
2023ds016,Siddharth Sharma,MALE,20,DS,5,2022-2023,86.39,7.62,80.67,76.26,81.75,0,7.74,A,LOW,79.56,0.0,NORMAL,0.8175,78.46,0.0,NONE,-0.05,0.2364
2023ds016,Siddharth Sharma,MALE,20,DS,6,2022-2023,77.55,7.64,84.1,84.96,78.03,0,7.75,A,LOW,82.36,0.0,NORMAL,0.7803,84.53,0.0,NONE,0.02,0.2172
2023ds016,Siddharth Sharma,MALE,21,DS,7,2023-2024,77.25,7.66,66.55,71.28,87.52,0,7.98,A,LOW,75.12,0.0,NORMAL,0.8752,68.91,0.0,NONE,0.02,0.2007
2023ds017,Rahul Singireddy,MALE,18,DS,1,2020-2021,85.39,7.56,69.69,68.09,81.54,0,7.72,A,LOW,73.11,0.0,NORMAL,0.8154,68.89,0.0,NONE,0.0,0.0
2023ds017,Rahul Singireddy,MALE,18,DS,2,2020-2021,86.04,7.72,60.58,56.67,67.16,0,6.96,B,MEDIUM,61.47,0.0,NORMAL,0.6716,58.62,0.0,NONE,0.16,0.0
2023ds017,Rahul Singireddy,MALE,19,DS,3,2021-2022,81.04,7.34,62.52,59.91,74.58,0,7.24,A,LOW,65.67,0.0,NORMAL,0.7458,61.22,0.0,NONE,-0.38,0.1908
2023ds017,Rahul Singireddy,MALE,19,DS,4,2021-2022,86.86,7.31,75.36,66.94,61.84,0,7.39,A,LOW,68.05,0.0,NORMAL,0.6184,71.15,0.0,NONE,-0.03,0.1936
2023ds017,Rahul Singireddy,MALE,20,DS,5,2022-2023,89.22,7.33,60.34,65.42,61.77,0,6.62,B,MEDIUM,62.51,0.0,NORMAL,0.6177,62.88,0.0,NONE,0.02,0.181
2023ds017,Rahul Singireddy,MALE,20,DS,6,2022-2023,90.93,7.19,78.1,58.26,68.96,0,6.92,B,MEDIUM,68.44,0.0,NORMAL,0.6896,68.18,0.0,NONE,-0.14,0.1941
2023ds017,Rahul Singireddy,MALE,21,DS,7,2023-2024,85.45,7.14,63.18,61.55,66.39,0,6.68,B,MEDIUM,63.71,0.0,NORMAL,0.6639,62.36,0.0,NONE,-0.05,0.2041
2023ds017,Rahul Singireddy,MALE,21,DS,8,2023-2024,88.65,7.08,66.52,65.38,61.61,0,6.7,B,MEDIUM,64.5,0.0,NORMAL,0.6161,65.95,0.0,NONE,-0.06,0.215
2023ece018,Pranav Verma,MALE,18,ECE,1,2020-2021,100.0,8.3,90.73,81.86,87.76,0,8.61,A+,LOW,86.78,0.0,NORMAL,0.8776,86.3,0.0,NONE,0.0,0.0
2023ece018,Pranav Verma,MALE,18,ECE,2,2020-2021,91.35,8.61,91.44,84.2,90.12,0,8.56,A+,LOW,88.59,0.0,NORMAL,0.9012,87.82,0.0,NONE,0.31,0.0
2023ece018,Pranav Verma,MALE,19,ECE,3,2021-2022,91.72,8.59,78.87,88.93,88.57,0,8.4,A+,LOW,85.46,0.0,NORMAL,0.8857,83.9,0.0,NONE,-0.02,0.1735
2023ece018,Pranav Verma,MALE,19,ECE,4,2021-2022,100.0,8.52,79.12,88.7,81.21,0,8.29,A+,LOW,83.01,0.0,NORMAL,0.8121,83.91,0.0,NONE,-0.07,0.142
2023ece018,Pranav Verma,MALE,20,ECE,5,2022-2023,100.0,8.46,84.39,87.24,92.3,0,8.5,A+,LOW,87.98,0.0,NORMAL,0.923,85.82,0.0,NONE,-0.06,0.1246
2023ece018,Pranav Verma,MALE,20,ECE,6,2022-2023,100.0,8.47,83.23,93.18,94.48,0,8.22,A+,LOW,90.3,0.0,NORMAL,0.9448,88.21,0.0,NONE,0.01,0.112
2023ece018,Pranav Verma,MALE,21,ECE,7,2023-2024,99.4,8.43,93.92,89.24,89.12,0,8.56,A+,LOW,90.76,0.0,NORMAL,0.8912,91.58,0.0,NONE,-0.04,0.1048
2023ece018,Pranav Verma,MALE,21,ECE,8,2023-2024,100.0,8.45,89.98,97.92,88.54,0,8.81,A+,LOW,92.15,0.0,NORMAL,0.8854,93.95,0.0,NONE,0.02,0.0978
2023eee019,Ananya Gupta,FEMALE,18,EEE,1,2020-2021,80.6,7.62,80.47,80.8,85.67,0,7.79,A,LOW,82.31,0.0,NORMAL,0.8567,80.63,0.0,NONE,0.0,0.0
2023eee019,Ananya Gupta,FEMALE,18,EEE,2,2020-2021,82.82,7.79,95.56,88.33,82.06,0,8.43,A+,LOW,88.65,0.0,NORMAL,0.8206,91.94,0.0,NONE,0.17,0.0
2023eee019,Ananya Gupta,FEMALE,19,EEE,3,2021-2022,79.43,8.11,70.58,76.76,74.34,0,7.75,A,LOW,73.89,0.0,NORMAL,0.7434,73.67,0.0,NONE,0.32,0.2488
2023eee019,Ananya Gupta,FEMALE,19,EEE,4,2021-2022,80.55,7.99,92.57,84.47,82.6,0,8.41,A+,LOW,86.55,0.0,NORMAL,0.826,88.52,0.0,NONE,-0.12,0.2165
2023eee019,Ananya Gupta,FEMALE,20,EEE,5,2022-2023,71.04,8.09,83.63,86.84,76.3,0,8.35,A+,LOW,82.26,0.0528,AT_RISK,0.763,85.24,0.0,NONE,0.1,0.2102
2023eee019,Ananya Gupta,FEMALE,20,EEE,6,2022-2023,80.65,8.15,79.43,85.72,95.05,0,8.43,A+,LOW,86.73,0.0,NORMAL,0.9505,82.58,0.0,NONE,0.06,0.2102
2023eee020,Vikram Deshmukh,MALE,20,EEE,1,2020-2021,87.19,7.24,63.65,61.31,70.6,2,6.3,B,MEDIUM,65.19,0.0,NORMAL,0.706,62.48,0.4,MODERATE,0.0,0.0
2023eee020,Vikram Deshmukh,MALE,20,EEE,2,2020-2021,86.4,6.3,63.5,69.24,68.12,0,6.67,B,MEDIUM,66.95,0.0,NORMAL,0.6812,66.37,0.0,NONE,-0.94,0.0
2023eee020,Vikram Deshmukh,MALE,21,EEE,3,2021-2022,83.99,6.48,64.71,60.45,64.23,0,6.49,B,MEDIUM,63.13,0.0,NORMAL,0.6423,62.58,0.0,NONE,0.18,0.4989
2023eee020,Vikram Deshmukh,MALE,21,EEE,4,2021-2022,88.97,6.49,60.75,71.5,73.23,0,6.74,B,MEDIUM,68.49,0.0,NORMAL,0.7323,66.12,0.0,NONE,0.01,0.4176
2023eee020,Vikram Deshmukh,MALE,22,EEE,5,2022-2023,93.37,6.55,61.6,58.77,57.56,1,6.34,B,MEDIUM,59.31,0.0,NORMAL,0.5756,60.18,0.2,MODERATE,0.06,0.3633
2023eee020,Vikram Deshmukh,MALE,22,EEE,6,2022-2023,88.39,6.51,65.87,67.88,60.82,1,6.72,B,MEDIUM,64.86,0.0,NORMAL,0.6082,66.88,0.2,MODERATE,-0.04,0.3276
2023eee020,Vikram Deshmukh,MALE,23,EEE,7,2023-2024,86.21,6.54,66.82,70.51,68.86,1,6.47,B,MEDIUM,68.73,0.0,NORMAL,0.6886,68.66,0.2,MODERATE,0.03,0.2998
2023eee020,Vikram Deshmukh,MALE,23,EEE,8,2023-2024,82.45,6.53,68.95,77.41,73.18,0,7.16,A,LOW,73.18,0.0,NORMAL,0.7318,73.18,0.0,NONE,-0.01,0.2783
2023ece021,Pranav Patel,MALE,20,ECE,1,2020-2021,57.98,6.21,46.61,51.8,53.64,3,5.23,C,HIGH,50.68,0.2269,CRITICAL,0.5364,49.2,0.6,SEVERE,0.0,0.0
2023ece021,Pranav Patel,MALE,20,ECE,2,2020-2021,51.64,5.23,60.92,50.8,51.22,0,5.1,C,HIGH,54.31,0.3115,CRITICAL,0.5122,55.86,0.0,NONE,-0.98,0.0
